id,winery,wine,year,rating,num_reviews,num_reviews_grp,region,price,type,body,acidity,acidity_level,taste,accomp_meal,category,alcohol_percentage,uds_vino,description
75,"Vega Sicilia","Unico Reserva Especial Edicion",2004,4.8,211,"not important at all","Ribera del Duero",824.43,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
76,"Vega Sicilia",Unico,1982,4.7,205,"not important at all","Ribera del Duero",820.98,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
77,"Vega Sicilia",Unico,1979,4.8,118,"not important at all","Ribera del Duero",815,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
78,"Vega Sicilia","Unico Reserva Especial Edicion",2005,4.8,87,"not important at all","Ribera del Duero",813.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
79,"Vega Sicilia","Unico Reserva Especial Edicion",2006,4.7,72,"not important at all","Ribera del Duero",813.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
80,"Vega Sicilia",Unico,1986,4.7,292,"not important at all","Ribera del Duero",812.63,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
81,"Vega Sicilia",Unico,1995,4.8,926,"slightly important","Ribera del Duero",810.89,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,3,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
82,"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Blanco",1986,4.7,425,"not important at all",Rioja,795,"Rioja White",3,3,high,dry,,White,13.5,6,"Spanish Rioja white wine is typically made from the Viura grape variety. which tends to produce wines with a crisp acidity and flavors of citrus fruits like lemon and grapefruit. as well as some floral and herbal notes. Depending on the winemaking techniques used. some Rioja white wines may also have a slightly creamy or buttery texture. Overall. Rioja white wines are typically dry and refreshing. with a good balance of acidity and fruit flavors."
83,"Vega Sicilia",Unico,1987,4.7,593,"slightly important","Ribera del Duero",787.59,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
84,"Vega Sicilia",Unico,1996,4.8,1309,important,"Ribera del Duero",778.06,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
85,"Vega Sicilia","Unico Reserva Especial Edicion",2007,4.7,303,"not important at all","Ribera del Duero",774.4,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
86,"Vega Sicilia",Unico,1975,4.6,115,"not important at all","Ribera del Duero",769.9,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
87,"Vega Sicilia","Unico Reserva Especial Edicion",2009,4.6,111,"not important at all","Ribera del Duero",747.17,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,9,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
88,"Vega Sicilia","Unico Reserva Especial Edicion",2010,4.8,125,"not important at all","Ribera del Duero",719.34,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
89,"Toro Albala","Gines Liebana Pedro Ximenez",1910,4.6,70,"not important at all",Montilla-Moriles,701.05,"Pedro Ximenez",5,1,low,sweet,,"White ",15,7,"Pedro Ximenez (PX) wine is a sweet dessert wine made from dried grapes. It is known for its intense sweetness and rich flavors of raisins. figs. caramel. and molasses. It is typically low in acidity and tannins. and has a thick. syrupy texture. Therefore. it can be classified as a sweet wine."
90,"Vega Sicilia",Unico,1983,4.7,118,"not important at all","Ribera del Duero",700,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
91,"Vega Sicilia",Unico,1972,4.7,110,"not important at all","Ribera del Duero",698.95,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
92,"Vega Sicilia",Unico,1991,4.7,1141,important,"Ribera del Duero",698.9,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
93,"Vega Sicilia",Unico,1999,4.8,1705,important,"Ribera del Duero",692.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
94,"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto",1942,4.7,27,"not important at all",Rioja,680,"Rioja Red",4,3,high,dry,,Red,14,9,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
95,"Vega Sicilia",Unico,1989,4.7,675,"slightly important","Ribera del Duero",679.72,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
96,"Vega Sicilia","Unico Reserva Especial Edicion",2012,4.7,136,"not important at all","Ribera del Duero",660.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
97,"Clos Erasmus",Priorat,2006,4.3,72,"not important at all",Priorato,654.31,"Priorat Red",4,3,high,dry,,Red,15,8,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
98,"Clos Erasmus",Priorat,2008,4.6,66,"not important at all",Priorato,654.31,"Priorat Red",4,3,high,dry,,Red,15,9,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
99,"Clos Erasmus",Priorat,2007,4.7,60,"not important at all",Priorato,654.31,"Priorat Red",4,3,high,dry,,Red,15,8,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
100,"Vega Sicilia",Unico,2004,4.7,3164,"fairly important","Ribera del Duero",584.43,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
101,"Vega Sicilia","Unico Reserva Especial Edicion",2013,4.8,172,"not important at all","Ribera del Duero",570.51,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
102,"Dominio del Aguila","Gran Reserva Penas Aladas",2012,4.5,61,"not important at all","Ribera del Duero",559.02,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
103,"Vega Sicilia",Unico,2000,4.7,3127,"fairly important","Ribera del Duero",555.2,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
104,"Sierra Cantabria",Magico,2016,4.8,40,"not important at all",Rioja,544.5,"Rioja Red",4,3,high,dry,,Red,14.5,8,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
105,"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto",1925,4.3,48,"not important at all",Rioja,532,"Rioja Red",4,3,high,dry,,Red,13,9,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
106,"Alvaro Palacios","Quinon de Valmira",2015,4.7,102,"not important at all",Rioja,527.26,"Rioja Red",4,3,high,dry,,Red,14,8,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
107,Artadi,"Vina El Pison",2010,4.6,169,"not important at all","Vino de Espana",519.55,Tempranillo,4,2,medium,dry,,Red,14,7,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
108,"Vega Sicilia","Unico Reserva Especial Edicion",2016,4.8,591,"slightly important","Ribera del Duero",514.85,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
109,Artadi,"Vina El Pison",2011,4.6,165,"not important at all","Vino de Espana",511.9,Tempranillo,4,2,medium,dry,,Red,14.6,9,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
110,"Vina Sastre","Pesus Ribera del Duero",2003,4.4,59,"not important at all","Ribera del Duero",509.25,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.8,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
111,"Vega Sicilia",Unico,2002,4.7,1199,important,"Ribera del Duero",500.94,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
112,Artadi,"Vina El Pison",2007,4.4,154,"not important at all","Vino de Espana",495,Tempranillo,4,2,medium,dry,,Red,14,5,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
113,"Vega Sicilia",Unico,1998,4.8,1209,important,"Ribera del Duero",490,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
114,"Vega Sicilia","Unico Reserva Especial Edicion",2017,4.7,560,"slightly important","Ribera del Duero",480.06,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
115,"Vina Sastre","Pesus Ribera del Duero",2004,4.7,32,"not important at all","Ribera del Duero",472.5,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,9,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
116,Artadi,"Grandes Anadas Rioja",1998,4.5,66,"not important at all",Rioja,467.65,"Rioja Red",4,3,high,dry,,Red,11.5,6,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
117,"Vina Sastre","Pesus Ribera del Duero",2011,4.4,114,"not important at all","Ribera del Duero",465,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
118,"Mas Doix","1902 Centenary Carignan Priorat",2013,4.7,74,"not important at all",Priorato,447.95,"Priorat Red",4,3,high,dry,,Red,14,8,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
119,"Vega Sicilia",Unico,2007,4.7,2935,"fairly important","Ribera del Duero",445.28,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,7,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
120,Artadi,"Vina El Pison",2009,4.6,113,"not important at all","Vino de Espana",445,Tempranillo,4,2,medium,dry,,Red,14,8,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
121,"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto",2010,4.6,2416,"fairly important",Rioja,438.9,"Rioja Red",4,3,high,dry,,Red,14,9,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
122,"Vega Sicilia","Unico Reserva Especial Edicion",2020,4.8,84,"not important at all","Ribera del Duero",435.75,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
123,"Vega Sicilia","Unico Reserva Especial Edicion",2019,4.8,250,"not important at all","Ribera del Duero",431.36,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
124,"Vega Sicilia","Unico Reserva Especial Edicion",2018,4.8,438,"not important at all","Ribera del Duero",430,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
127,Artadi,"Vina El Pison",1999,4.4,98,"not important at all","Vino de Espana",419.85,Tempranillo,4,2,medium,dry,meatsalad,Red,14,5,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
128,"Alvaro Palacios","Quinon de Valmira",2016,4.5,88,"not important at all",Rioja,415,"Rioja Red",4,3,high,dry,meat,Red,14,8,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
129,Gonzalez-Byass,"Anada Palo Cortado 1987",1987,4.7,53,"not important at all","Jerez Palo Cortado",400.85,Sherry,4,3,high,dryearthy,meatappetizers,Fortified,21.5,8,"Sherry is a fortified wine with a wide range of styles. from very dry to sweet. The flavors can also vary depending on the style. but some common characteristics include nutty. earthy. and sometimes a bit of caramel or toffee. Some dry styles of sherry can be quite acidic. while sweeter styles will have a more prominent sweetness. Overall. the flavor of sherry can be quite complex and varied."
130,"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto",2005,4.5,3521,"fairly important",Rioja,400,"Rioja Red",4,3,high,dry,meat,Red,14,8,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
131,"Sierra Cantabria",Amancio,2007,4.6,70,"not important at all",Rioja,399.6,"Rioja Red",4,3,high,dry,meat,Red,15,8,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
132,Artadi,"Vina El Pison",1995,4.7,39,"not important at all","Vino de Espana",397,Tempranillo,4,2,medium,dry,meatsalad,Red,13.6,5,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
133,Artadi,"Grandes Anadas Rioja",2001,4.5,103,"not important at all",Rioja,391.65,"Rioja Red",4,3,high,dry,meat,Red,13.5,6,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
134,Artadi,"Vina El Pison",2006,4.6,274,"not important at all","Vino de Espana",391.5,Tempranillo,4,2,medium,dry,meatsalad,Red,14,5,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
135,Artadi,"Vina El Pison",2016,4.4,77,"not important at all","Vino de Espana",385,Tempranillo,4,2,medium,dry,meatsalad,Red,14.6,6,"Tempranillo wines tend to be medium to full-bodied. with moderate to high levels of tannins and acidity. They often exhibit flavors of red and dark fruit. such as cherries. plums. and blackberries. as well as notes of vanilla. leather. and tobacco."
136,"Vega Sicilia",Unico,2005,4.7,3437,"fairly important","Ribera del Duero",381.15,"Ribera Del Duero Red",5,3,high,tannicfruity,meat,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
138,"Terra Remota",Usted,2010,4.7,31,"not important at all",Emporda,379,Red,4,3,high,dry,meatpasta,Red,14.5,6,"Terra Remota Usted is a red wine made from a blend of Cabernet Sauvignon. Syrah. and Merlot grapes. The wine is dry and has a medium to full body with moderate tannins and moderate acidity. The flavors are fruity with notes of blackberry. plum. and black cherry. along with some herbal and earthy notes. It is best paired with grilled meats. stews. and strong cheeses."
139,"Vina Sastre","Pesus Ribera del Duero",2012,4.4,150,"not important at all","Ribera del Duero",379,"Ribera Del Duero Red",5,3,high,tannicfruity,meat,Red,15,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
140,"Clos Erasmus",Priorat,2012,4.5,69,"not important at all",Priorato,374.66,"Priorat Red",4,3,high,dry,meat,Red,15,2,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
141,"Anima Negra","Son Negre",2004,4.6,27,"not important at all",Mallorca,374.35,Red,4,3,high,drytannic,meatpasta,Red,14,3,"Son Negre is a red wine produced by Anima Negra winery in the Balearic Islands of Spain. It is known for its complex and intense flavor profile. with notes of black fruit. spices. and a subtle mineral character. On the palate. it is dry. full-bodied. and tannic. with a long and persistent finish. Overall. Son Negre is a bold and powerful wine with a good balance of fruit. tannins. and acidity."
142,Ordonez,"Vatan Arena Tinta de Toro",2014,4.8,79,"not important at all",Toro,369.05,"Toro Red",5,3,high,tannic,meat,Red,15.5,9,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
143,"Vall Llach","Mas de la Rosa",2016,4.4,53,"not important at all",Priorato,367.39,"Priorat Red",4,3,high,dry,meat,Red,15.5,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
144,"Vega Sicilia",Unico,2006,4.7,2765,"fairly important","Ribera del Duero",362.25,"Ribera Del Duero Red",5,3,high,tannicfruity,meat,Red,14,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
145,"Vina Sastre","Pesus Ribera del Duero",2007,4.8,68,"not important at all","Ribera del Duero",360,"Ribera Del Duero Red",5,3,high,tannicfruity,meat,Red,15,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
146,"Vega Sicilia",Unico,2012,4.6,98,"not important at all","Ribera del Duero",359.9,"Ribera Del Duero Red",5,3,high,tannicfruity,meat,Red,14.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
147,"Alvaro Palacios","Les Aubaguetes Priorat",2016,4.6,59,"not important at all",Priorato,355.95,"Priorat Red",4,3,high,dry,meat,Red,14.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
148,"Mas Doix",Doix,2007,4.4,187,"not important at all",Priorato,350.03,"Priorat Red",4,3,high,dry,meat,Red,14.5,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
149,"Toro Albala","Don PX Convento Seleccion",1946,4.8,398,"not important at all",Montilla-Moriles,350,"Pedro Ximenez",5,1,low,sweet,dessert,White,17,6,"Pedro Ximenez (PX) wine is a sweet dessert wine made from dried grapes. It is known for its intense sweetness and rich flavors of raisins. figs. caramel. and molasses. It is typically low in acidity and tannins. and has a thick. syrupy texture. Therefore. it can be classified as a sweet wine."
150,"Vega Sicilia",Unico,2010,4.8,1201,important,"Ribera del Duero",349,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
